;;;;;;
;;;;;;
tahun;kuantitas;harga_minyak_kelapa;harga_minyak_sawit;pendapatan;harga_CPO;trend
1980;297;1353;4430;58701;2252;0
1981;326;1171;4632;63486;2283;1
1982;326;1301;3502;64214;2153;2
1983;342;970;4298;69681;2096;3
1884;605;1221;4831;74718;2837;4
1985;490;1885;4159;77336;2828;5
1986;588;1201;3520;81959;2864;6
1987;664;1055;3722;86317;2487;7
1988;728;1264;4131;91800;2593;8
1989;847;1551;4058;100100;2573;9
1990;969;1381;3465;109008;2289;10
1991;981;882;3434;118685;2295;11
1992;1162;1078;3883;127257;2749;12
1993;1250;1038;3467;136558;2448;13
1994;1506;1005;3888;147003;2951;14
1995;1731;1356;4134;159589;3054;15
1996;2336;1428;3787;171162;2705;16
1997;2453;1600;3830;179479;2745;17
1998;2526;2097;6810;156151;3312;18
1999;2598;1933;4298;157616;2667;19
2000;2923;1563;3419;164808;2004;20
2001;3303;1324;3175;171328;1730;21
2002;3733;1484;3305;178991;2257;22
2003;4218;1541;3617;187841;2600;23
2004;4766;1625;3292;197550;2686;24
